FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20
Action 195: AT=74.30 ms, Type=ISSUE
Action 196: AT=74.30 ms, Type=ISSUE
Action 197: AT=74.80 ms, Type=RETURN
Action 198: AT=74.80 ms, Type=APPROVE
Action 199: AT=74.80 ms, Type=ISSUE
Action 200: AT=75.80 ms, Type=ISSUE
Action 201: AT=76.40 ms, Type=RETURN
Action 202: AT=77.20 ms, Type=RETURN
Action 203: AT=77.20 ms, Type=APPROVE
Action 204: AT=77.90 ms, Type=APPROVE
Action 205: AT=78.50 ms, Type=APPROVE
Action 206: AT=79.10 ms, Type=ISSUE
Action 207: AT=79.10 ms, Type=RETURN
Action 208: AT=79.10 ms, Type=RETURN
Action 209: AT=79.80 ms, Type=RETURN
Action 210: AT=80.50 ms, Type=REQUEST
Action 211: AT=80.50 ms, Type=RETURN
Action 212: AT=80.50 ms, Type=REQUEST
Action 213: AT=81.10 ms, Type=ISSUE
Action 214: AT=81.10 ms, Type=APPROVE
Action 215: AT=81.80 ms, Type=APPROVE
Action 216: AT=81.80 ms, Type=APPROVE
Action 217: AT=82.40 ms, Type=RETURN
Action 218: AT=82.40 ms, Type=ISSUE
Action 219: AT=82.40 ms, Type=APPROVE
Action 220: AT=83.20 ms, Type=RETURN
Action 221: AT=84.00 ms, Type=RETURN
Action 222: AT=84.00 ms, Type=ISSUE
Action 223: AT=84.00 ms, Type=APPROVE
Action 224: AT=84.90 ms, Type=ISSUE
Action 225: AT=84.90 ms, Type=ISSUE
Action 226: AT=85.90 ms, Type=APPROVE
Action 227: AT=85.90 ms, Type=REQUEST
Action 228: AT=85.90 ms, Type=APPROVE
Action 229: AT=86.80 ms, Type=RETURN
Action 230: AT=87.80 ms, Type=REQUEST
Action 231: AT=87.80 ms, Type=REQUEST
Action 232: AT=88.50 ms, Type=APPROVE
Action 233: AT=88.50 ms, Type=REQUEST
Action 234: AT=89.20 ms, Type=REQUEST
Action 235: AT=89.20 ms, Type=REQUEST
Action 236: AT=90.10 ms, Type=APPROVE
Action 237: AT=90.10 ms, Type=REQUEST
Action 238: AT=90.80 ms, Type=APPROVE
Action 239: AT=90.80 ms, Type=REQUEST
Action 240: AT=90.80 ms, Type=RETURN
Action 241: AT=91.80 ms, Type=RETURN
Action 242: AT=91.80 ms, Type=REQUEST
Action 243: AT=91.80 ms, Type=RETURN
Action 244: AT=92.30 ms, Type=ISSUE
Action 245: AT=92.30 ms, Type=ISSUE
Action 246: AT=92.30 ms, Type=RETURN
Action 247: AT=93.10 ms, Type=REQUEST
Action 248: AT=93.10 ms, Type=RETURN
Action 249: AT=93.10 ms, Type=RETURN
Action 250: AT=93.60 ms, Type=ISSUE
Action 251: AT=93.60 ms, Type=ISSUE
Action 252: AT=93.60 ms, Type=APPROVE
Action 253: AT=94.60 ms, Type=ISSUE
Action 254: AT=94.60 ms, Type=REQUEST
Action 255: AT=95.10 ms, Type=REQUEST
Action 256: AT=95.60 ms, Type=REQUEST
Action 257: AT=96.60 ms, Type=ISSUE
Action 258: AT=96.60 ms, Type=RETURN
Action 259: AT=96.60 ms, Type=REQUEST
Action 260: AT=97.40 ms, Type=APPROVE
Action 261: AT=97.40 ms, Type=REQUEST
Action 262: AT=97.40 ms, Type=APPROVE
Action 263: AT=97.90 ms, Type=REQUEST
Action 264: AT=98.90 ms, Type=APPROVE
Action 265: AT=98.90 ms, Type=ISSUE
Action 266: AT=99.90 ms, Type=REQUEST
Action 267: AT=100.40 ms, Type=APPROVE
Action 268: AT=100.40 ms, Type=RETURN
Action 269: AT=100.40 ms, Type=RETURN
Action 270: AT=100.90 ms, Type=APPROVE
Action 271: AT=100.90 ms, Type=APPROVE
Action 272: AT=100.90 ms, Type=RETURN
Action 273: AT=101.60 ms, Type=RETURN
Action 274: AT=102.10 ms, Type=REQUEST
Action 275: AT=102.10 ms, Type=REQUEST
Action 276: AT=103.00 ms, Type=APPROVE
Action 277: AT=103.00 ms, Type=RETURN
Action 278: AT=103.00 ms, Type=REQUEST
Action 279: AT=103.50 ms, Type=REQUEST
Action 280: AT=103.50 ms, Type=APPROVE
Action 281: AT=104.20 ms, Type=APPROVE
Action 282: AT=104.20 ms, Type=REQUEST
Action 283: AT=104.70 ms, Type=RETURN
Action 284: AT=104.70 ms, Type=APPROVE
Action 285: AT=105.40 ms, Type=APPROVE
Action 286: AT=105.40 ms, Type=ISSUE
Action 287: AT=106.30 ms, Type=ISSUE
Action 288: AT=107.20 ms, Type=APPROVE
Action 289: AT=107.20 ms, Type=RETURN
Action 290: AT=107.20 ms, Type=ISSUE
